nombre,nombre_cientifico,clase,continente,habitat,dieta,peso,tamano,estado_conservacion,image_url,url,image_file
Gorila de costa,Gorilla gorilla gorilla,Mamíferos,África,Bosque tropical,Herbívoro,57 - 191 kg,"1,3 - 2 m",En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/gorila-de-costa/Gorila-de-costa-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gorila-de-costa,017-Gorila-de-costa-Zoo-Madrid-3.jpg
Loris Arcoiris,Trichoglossus moluccanus,Aves,Oceanía,Bosque tropical,Frugívoro,116 - 142 g,26 - 31 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/loris-arco-iris/Loris-arco-iris-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/loris-arco-iris,018-Loris-arco-iris-Zoo-Madrid-main.jpg
Muntjac de Reeves,Muntiacus reevesi,Mamíferos,Asia,Se adapta a variedad de hábitats,Omnívoro,Alrededor de los 13 kg,Hasta 1 metro de largo y 50cm de altura en la cruz,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/muntjac-de-reeves/muntjac_01.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/muntjac-de-reeves,019-muntjac_01.jpg
Gamo,Dama dama,Mamíferos,Europa,"Praderas, bosque, cerca de caños y ríos",Herbívoro,40-60 kg,120-155 cm de longitud,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/gamo/gamo_02.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gamo,020-gamo_02.jpg
Búho Real,Bubo bubo,Aves,Europa,"Bosques, semidesiertos, acantilados y tundras",Carnívoro,"1,5 - 2,5 kg",60 - 70 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/buho-real/Buho-Real-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/buho-real,021-Buho-Real-Zoo-Madrid-main.jpg
Ñu de cola blanca,Connochaetes gnou,Mamíferos,África,Sabana,Herbívoro,130 - 205 kg,"1,7 - 2,2 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/%C3%B1u-de-cola-blanca/%C3%91u-de-cola-blanca-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/nu-de-cola-blanca,022-%C3%91u-de-cola-blanca-Zoo-Madrid-main.jpg
Ganso cenizo,Cereopsis novaehollandiae,Aves,Oceanía,"Ríos, marismas, pantanos y lagunas",Herbívoro,"3,8 - 5,3 kg",75 - 85 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/ganso-cenizo/Ganso-cenizo-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/ganso-cenizo,023-Ganso-cenizo-Zoo-Madrid-main.jpg
Pingüino de Jackass,Spheniscus demersus,Aves,África,Océanos y mares,Piscívoro,2 - 5 kg,60-70 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/ping%C3%BCino-de-jackass/Pinguino-de-jackass-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/pingueino-de-jackass,024-Pinguino-de-jackass-Zoo-Madrid-main.jpg
Camello Bactriano,Camelus bactrianus,Mamíferos,Asia,Desiertos,Herbívoro,500 - 1.000 kg,"2,30 - 3 m",En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/camello-bactriano/Camello-Bactriano-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/camello-bactriano,025-Camello-Bactriano-Zoo-Madrid-main.jpg
Lémur variegatus,Varecia variegata,Mamíferos,África,Bosque tropical,Frugívoros,"2,5 - 4,8 kg",hasta 120 cm,En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/lemur-variegatus/Lemur-variegatus-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/lemur-variegatus,026-Lemur-variegatus-Zoo-Madrid-main.jpg
Wallaby de roca,Petrogale xanthopus,Mamíferos,Oceanía,Áreas rocosas,Herbívoro,7 - 13 kg,60 cm,Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/wallaby-de-roca/Wallaby-de-roca-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/wallaby-de-roca,027-Wallaby-de-roca-Zoo-Madrid-main.jpg
Emú,Dromaius novaehollandiae,Aves,Oceanía,Sabanas y praderas,Omnívoros,30 - 60 kg,"1,50 - 1,90 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/em%C3%BA/Emu-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/emu,028-Emu-Zoo-Madrid-3.jpg
Arruí,Ammotragus lervia,Mamíferos,África,"Mesetas, sabana y desierto",Herbívoro,65 - 145 kg,110 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/arrui/Arrui-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/arrui,029-Arrui-Zoo-Madrid-3.jpg
Alimoche,Neophron percnopterus,Aves,,"Pastizales, dehesas y matorrales",Carnívoro,"1,6 - 2,4 kg",58 - 70 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/alimoche/Alimoche-Zoo-Madrid.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/alimoche,030-Alimoche-Zoo-Madrid.jpg
Suricata,Suricata suricatta,Mamíferos,África,"Sabana, matorral, pastizal y desierto",Insectívoro,620 - 720 g,25 - 35 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/suricata/Suricata-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/suricata,031-Suricata-Zoo-Madrid-main.jpg
Calao Terrestre,Bucorvus leadbeateri,Aves,África,"Bosques, sabanas y praderas",Carnívoro,Hasta 6 kg,100 cm aprox,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/calao-terrestre/calao-terrestre_01.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/calao-terrestre,032-calao-terrestre_01.jpg
Visón europeo,Mustela lutreola,Mamíferos,Europa,Ambientes acuáticos,Omnívoro,,,En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/vison-europeo/vison_europeo_02.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/vison-europeo,033-vison_europeo_02.jpg
Takin de Mishmi,Budorcas taxicolor taxicolor,Mamíferos,Asia,Bosques subtropicales y templados,Herbívoro,250 – 350kg,"Hasta 2 metros de largo y entre 1-1,5m de altura en la cruz.",Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/takin-de-misaim/takin_02.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/takin-de-mishmi,034-takin_02.jpg
Ciervo del padre David,Elaphurus davidianus,Mamíferos,Asia,Praderas y humedales,Herbívoro,150 - 200 kg,"1,2 - 1,8 m",Extinta en estado silvestre,https://www.zoomadrid.com/content/dam/zoo/images/animals/ciervo-del-padre-david/Ciervo-padre-david-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/ciervo-del-padre-david,035-Ciervo-padre-david-Zoo-Madrid-2.jpg
Lémur de Mayotte,Eulemur fulvus,Mamíferos,África,Bosques templados secos,Herbívoro,2 - 4 kg,40 cm aprox,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/lemur-de-mayotte/lemur_mayotte_01.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/lemur-de-mayotte,036-lemur_mayotte_01.jpg
Liebre de la Patagonia o mara,Dolichotis patagonum,Mamíferos,América del Sur,Praderas y estepas,Herbívoro,8 - 15 kg,70 - 75 cm,Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/liebre-de-patagonia/Liebre-de-patagonia-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/liebre-de-la-patagonia,037-Liebre-de-patagonia-Zoo-Madrid-3.jpg
Sitatunga,Tragelaphus spekii,Mamíferos,África,"Bosques, sabanas, praderas y humedales",Herbívoro,50 - 125 kg,115 - 175 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/sitatunga/Sitatunga-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/sitatunga,038-Sitatunga-Zoo-Madrid-main.jpg
Mandril,Mandrillus sphinx,Mamíferos,África,Bosque tropical,Omnívoro,40 - 50 kg,1 m,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/mandril/Mandril-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/mandril,039-Mandril-Zoo-Madrid-main.jpg
Hipopótamo,Hippopotamus amphibius,Mamíferos,África,"Ríos, marismas, pantanos y lagunas",Herbívoro,1.300 - 3.000 kg,2 - 5 m,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/hipopotamo/Hipopotamo-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/hipopotamo,040-Hipopotamo-Zoo-Madrid-2.jpg
Pigargo europeo,Haliaeetus albicilla,Aves,,"Ríos, marismas, pantanos y lagunas",Piscívoro,3 - 6 kg,80 - 90 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/pigargo-europeo/1%20PIGARGO%20EUROPEO.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/pigargo-europeo,041-1%20PIGARGO%20EUROPEO.jpg
Grulla coronada,Balearica regulorum,Aves,África,"Sabana, bosques, praderas y humedales",Omnívoro,3-4 kg,100-110 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/grulla-coronada/Grulla-coronada-Zoo-Madrid.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/grulla-coronada,042-Grulla-coronada-Zoo-Madrid.jpg
Gacela dama,Nanger dama,Mamíferos,África,Desierto,Herbívoro,35 - 75 kg,"hasta 1,7 m",En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/gacela-dama/Gacela-dama-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gacela-dama,043-Gacela-dama-Zoo-Madrid-main.jpg
Búfalo Rojo,Syncerus caffer nanus,Mamíferos,África,Bosque,Herbívoro,300 Kg,"1,2 m",Datos insuficientes,https://www.zoomadrid.com/content/dam/zoo/images/animals/bufalo-rojo/Bufalo-Rojo-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/bufalo-rojo,044-Bufalo-Rojo-Zoo-Madrid-2.jpg
Tortuga careta,Caretta caretta,Reptiles,,Océanos y mares,Omnívoro,120 kg,120 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortura-careta/Tortuga-careta-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-careta,045-Tortuga-careta-Zoo-Madrid-2.jpg
Chimpancé,Pan troglodytes,Mamíferos,África,Bosque tropical,Omnívoro,30 - 60 kg,Hasta 81 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/chimpance/Chimpance-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/chimpance,046-Chimpance-Zoo-Madrid-3.jpg
